label,centrality
"[Addition to Library of Congress, 3927]",3.0
"[Addition to Library of Congress, 4347_3]",3.0
"[Addition to Library of Congress, 3928]",3.0
"[Addition to Library of Congress, 4247]",3.0
"[Addition to Library of Congress, 3995]",3.0
"[Addition to Library of Congress, 3927]",3.0
"[Addition to Library of Congress, 3027]",3.0
"[Addition to Library of Congress, 3674]",3.0
"[Addition to Library of Congress, 529]",3.0
"[Addition to Library of Congress, 4165]",3.0
"[Addition to Library of Congress, 529]",3.0
"[Addition to Library of Congress, 3819]",3.0
"[Addition to Library of Congress, 3929]",3.0
"[Addition to Library of Congress, 4380]",3.0
"[Addition to Library of Congress, 3995]",3.0
"[Addition to Library of Congress, 3824]",3.0
"[Addition to Library of Congress, 2687]",3.0
"[Bookblock (Library of Congress, 4053)]",2.625
"[Bookblock (Library of Congress, 3994)]",2.5
"[Bookblock (Library of Congress, 4347_3)]",2.4
"[Bookblock (Library of Congress, 4539_003)]",2.25
"[Bookblock (Library of Congress, 1657_001)]",2.25
"[Bookblock (Library of Congress, 3819)]",2.25
"[Bookblock (Library of Congress, 2966)]",2.2
"[Bookblock (Library of Congress, 3967)]",2.2
"[Bookblock (Library of Congress, 4240)]",2.2
"[Bookblock (Library of Congress, 4341)]",2.2
"[Bookblock (Library of Congress, 3027)]",2.1
"[Bookblock (Library of Congress, 3674)]",2.1
"[Bookblock (Library of Congress, 2687)]",2.1
"[Bookblock (Library of Congress, 3927)]",2.1
"[Bookblock (Library of Congress, 2561)]",2.0
"[Bookblock (Library of Congress, 3966)]",2.0
"[Bookblock (Library of Congress, 4318_006)]",2.0
"[Bookblock (Library of Congress, 3995)]",2.0
"[Bookblock (Library of Congress, 4318_005)]",2.0
"[Bookblock (Library of Congress, 1697)]",2.0
"[Bookblock (Library of Congress, 2247)]",1.9
"[Bookblock (Library of Congress, 3494)]",1.9
"[Bookblock (Library of Congress, 529)]",1.9
"[Bookblock (Library of Congress, 4247)]",1.8
"[Bookblock (Library of Congress, 3968)]",1.8
"[Bookblock (Library of Congress, 4265)]",1.8
"[Bookblock (Library of Congress, 4388_101_01)]",1.8
"[Bookblock (Library of Congress, 3928)]",1.8
"[Bookblock (Library of Congress, 4357_005_001)]",1.8
"[Bookblock (Library of Congress, 4380)]",1.7
"[Bookblock (Library of Congress, 4165)]",1.6
"[Bookblock (Library of Congress, 3929)]",1.6
"[Bookblock (Library of Congress, 4318_003)]",1.6
"[Bookblock (Library of Congress, 4318_002)]",1.6
"[Bookblock (Library of Congress, 4318_001)]",1.6
"[Bookblock (Library of Congress, 4164)]",1.6
"[Cover (Library of Congress, 4053)]",1.3
"[Cover (Library of Congress, 3968)]",1.0769230769230769
"[Conservation treatment date (Library of Congress, 4318_005)]",1.0
"[Conservation treatment date (Library of Congress, 4318_001)]",1.0
"[Cover (Library of Congress, 4388_101_01)]",1.0
"[Conservation treatment date (Library of Congress, 3929)]",1.0
"[Conservation treatment date (Library of Congress, 4240)]",1.0
"[Conservation treatment date (Library of Congress, 3674)]",1.0
"[Conservation treatment date (Library of Congress, 2687)]",1.0
"[Conservation treatment date (Library of Congress, 2966)]",1.0
"[Cover (Library of Congress, 3824)]",1.0
"[Conservation treatment date (Library of Congress, 4539_003)]",1.0
"[Conservation treatment date (Library of Congress, 3995)]",1.0
"[Conservation treatment date (Library of Congress, 3966)]",1.0
"[Conservation treatment date (Library of Congress, 4357_005_001)]",1.0
"[Conservation treatment date (Library of Congress, 4318_003)]",1.0
"[Conservation treatment date (Library of Congress, 1657_001)]",1.0
"[Conservation treatment date (Library of Congress, 4165)]",1.0
"[Conservation treatment date (Library of Congress, 4265)]",1.0
"[Conservation treatment date (Library of Congress, 4380)]",1.0
"[Conservation treatment date (Library of Congress, 4164)]",1.0
"[Conservation treatment date (Library of Congress, 4053)]",1.0
"[Conservation treatment date (Library of Congress, 4318_002)]",1.0
"[Conservation treatment date (Library of Congress, 4341)]",1.0
"[Conservation treatment date (Library of Congress, 3968)]",1.0
"[Conservation treatment date (Library of Congress, 3824)]",1.0
"[Conservation treatment date (Library of Congress, 3494)]",1.0
"[Conservation treatment date (Library of Congress, 3994)]",1.0
"[Cover (Library of Congress, 3929)]",1.0
"[Conservation treatment date (Library of Congress, 3027)]",1.0
"[Conservation treatment date (Library of Congress, 4347_3)]",1.0
"[Conservation treatment date (Library of Congress, 3819)]",1.0
"[Conservation treatment date (Library of Congress, 529)]",1.0
"[Conservation treatment date (Library of Congress, 3928)]",1.0
"[Conservation treatment date (Library of Congress, 4318_006)]",1.0
"[Conservation treatment date (Library of Congress, 1697)]",1.0
"[Conservation treatment date (Library of Congress, 2247)]",1.0
"[Conservation treatment date (Library of Congress, 4247)]",1.0
"[Conservation treatment date (Library of Congress, 3927)]",1.0
"[Conservation treatment date (Library of Congress, 3967)]",1.0
"[Conservation treatment date (Library of Congress, 2561)]",1.0
"[Conservation treatment date (Library of Congress, 4388_101_01)]",1.0
"[Cover (Library of Congress, 3027)]",0.8461538461538461
"[Cover (Library of Congress, 4357_005_001)]",0.8333333333333334
"[Cover (Library of Congress, 3494)]",0.8181818181818182
"[Left board (Library of Congress, 4539_003)]",0.7777777777777778
"[Left board (Library of Congress, 3819)]",0.7777777777777778
"[Right board (Library of Congress, 3819)]",0.7777777777777778
"[Right board (Library of Congress, 4539_003)]",0.7777777777777778
"[Right board (Library of Congress, 3824)]",0.7
"[Left board (Library of Congress, 4053)]",0.7
"[Left board (Library of Congress, 3824)]",0.7
"[Right board (Library of Congress, 4053)]",0.7
"[Right board (Library of Congress, 2247)]",0.6363636363636364
"[Left board (Library of Congress, 4388_101_01)]",0.6363636363636364
"[Right board (Library of Congress, 4318_005)]",0.6363636363636364
"[Left board (Library of Congress, 4240)]",0.6363636363636364
"[Right board (Library of Congress, 4341)]",0.6363636363636364
"[Left board (Library of Congress, 4165)]",0.6363636363636364
"[Left board (Library of Congress, 2247)]",0.6363636363636364
"[Right board (Library of Congress, 3995)]",0.6363636363636364
"[Right board (Library of Congress, 4388_101_01)]",0.6363636363636364
"[Left board (Library of Congress, 1697)]",0.6363636363636364
"[Left board (Library of Congress, 4357_005_001)]",0.6363636363636364
"[Left board (Library of Congress, 3966)]",0.6363636363636364
"[Right board (Library of Congress, 3967)]",0.6363636363636364
"[Right board (Library of Congress, 4265)]",0.6363636363636364
"[Left board (Library of Congress, 4341)]",0.6363636363636364
"[Left board (Library of Congress, 3967)]",0.6363636363636364
"[Right board (Library of Congress, 1697)]",0.6363636363636364
"[Right board (Library of Congress, 3966)]",0.6363636363636364
"[Left board (Library of Congress, 3995)]",0.6363636363636364
"[Right board (Library of Congress, 4357_005_001)]",0.6363636363636364
"[Right board (Library of Congress, 4318_006)]",0.6363636363636364
"[Left board (Library of Congress, 4318_006)]",0.6363636363636364
"[Right board (Library of Congress, 4240)]",0.6363636363636364
"[Left board (Library of Congress, 4318_005)]",0.6363636363636364
"[Right board (Library of Congress, 4165)]",0.6363636363636364
"[Left board (Library of Congress, 4265)]",0.6363636363636364
"[Cover (Library of Congress, 4318_006)]",0.625
"[Right board (Library of Congress, 4247)]",0.5833333333333334
"[Right board (Library of Congress, 3928)]",0.5833333333333334
"[Left board (Library of Congress, 2966)]",0.5833333333333334
"[Right board (Library of Congress, 2966)]",0.5833333333333334
"[Left board (Library of Congress, 3928)]",0.5833333333333334
"[Left board (Library of Congress, 3968)]",0.5833333333333334
"[Left board (Library of Congress, 4247)]",0.5833333333333334
"[Cover (Library of Congress, 3994)]",0.5833333333333334
"[Right board (Library of Congress, 3968)]",0.5833333333333334
"[Left board (Library of Congress, 3494)]",0.5384615384615384
"[Left board (Library of Congress, 4318_003)]",0.5384615384615384
"[Right board (Library of Congress, 3494)]",0.5384615384615384
"[Right board (Library of Congress, 4318_002)]",0.5384615384615384
"[Right board (Library of Congress, 4318_003)]",0.5384615384615384
"[Left board (Library of Congress, 4318_002)]",0.5384615384615384
"[Right board (Library of Congress, 4318_001)]",0.5384615384615384
"[Left board (Library of Congress, 4318_001)]",0.5384615384615384
"[Textblock (Library of Congress, 4053)]",0.5
"[Cover (Library of Congress, 4164)]",0.5
"[Cover (Library of Congress, 3928)]",0.45454545454545453
"[Cover (Library of Congress, 4247)]",0.45454545454545453
"[Left board (Library of Congress, 3027)]",0.45454545454545453
"[Cover (Library of Congress, 3966)]",0.45454545454545453
"[Cover (Library of Congress, 4240)]",0.45454545454545453
"[Right board (Library of Congress, 3027)]",0.45454545454545453
"[Cover (Library of Congress, 3967)]",0.45454545454545453
"[Textblock (Library of Congress, 3824)]",0.4375
"[Cover (Library of Congress, 3995)]",0.42857142857142855
"[Cover (Library of Congress, 4165)]",0.4166666666666667
"[Cover (Library of Congress, 1697)]",0.4166666666666667
"[Textblock (Library of Congress, 2687)]",0.4117647058823529
"[Textblock (Library of Congress, 4341)]",0.4
"[Textblock (Library of Congress, 3994)]",0.4
"[Cover (Library of Congress, 3927)]",0.38461538461538464
"[Textblock (Library of Congress, 2966)]",0.38095238095238093
"[Sewing structure (Library of Congress, 4053)]",0.375
"[Sewing structure (Library of Congress, 3819)]",0.375
"[Left board (Library of Congress, 3994)]",0.375
"[Right board (Library of Congress, 3994)]",0.375
"[Textblock (Library of Congress, 1657_001)]",0.375
"[Sewing structure (Library of Congress, 3994)]",0.375
"[Sewing structure (Library of Congress, 4318_006)]",0.375
"[Sewing structure (Library of Congress, 3824)]",0.375
"[Cover (Library of Congress, 4318_005)]",0.375
"[Sewing structure (Library of Congress, 4539_003)]",0.375
"[Sewing structure (Library of Congress, 4318_005)]",0.375
"[Textblock (Library of Congress, 3674)]",0.3684210526315789
"[Cover (Library of Congress, 1657_001)]",0.35714285714285715
"[Textblock (Library of Congress, 3927)]",0.35
"[Attribute assignment date (Library of Congress, 3968)]",0.3333333333333333
"[Edges (Library of Congress, 3928)]",0.3333333333333333
"[Spine (Library of Congress, 4318_001)]",0.3333333333333333
